id,year,sport,medal_type
36094,2004,Swimming Women's 4 x 100 metres Medley Relay,Bronze
36095,2000,Archery Men's Individual,Bronze
36096,2008,Hockey Women's Hockey,Gold
36097,2012,Hockey Women's Hockey,Gold
36098,2016,Hockey Women's Hockey,Silver
36099,1900,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
36100,1908,"Shooting Men's Free Pistol, 50 yards",Gold
36101,1908,"Shooting Men's Free Pistol, 50 yards, Team",Silver
36102,2016,Hockey Men's Hockey,Silver
36103,2016,"Cycling Men's Road Race, Individual",Gold
36104,2000,"Equestrianism Mixed Dressage, Team",Silver
36105,1996,Judo Men's Heavyweight,Bronze
36106,1920,"Archery Men's Target Archery, 28 metres, Team",Silver
36107,1920,"Archery Men's Target Archery, 33 metres, Team",Gold
36108,1920,"Archery Men's Target Archery, 50 metres, Team",Gold
36109,2014,"Speed Skating Women's 1,500 metres",Bronze
36110,2014,Speed Skating Women's Team Pursuit (6 laps),Gold
36111,2008,Water Polo Women's Water Polo,Gold
36112,1980,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36113,1984,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
36114,1988,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
36115,1900,Sailing Mixed 20+ Ton,Bronze
36116,1906,"Fencing Men's epee, Individual",Bronze
36117,1992,Cycling Men's Points Race,Silver
36118,1912,Football Men's Football,Bronze
36119,2004,Baseball Men's Baseball,Silver
36120,1920,"Archery Men's Target Archery, 28 metres, Team",Gold
36121,1904,Water Polo Men's Water Polo,Gold
36122,1900,Rowing Men's Coxed Eights,Silver
36123,1976,Athletics Men's 800 metres,Silver
36124,1976,"Athletics Men's 1,500 metres",Silver
36125,1924,"Fencing Men's Foil, Individual",Bronze
36126,1924,"Fencing Men's Foil, Team",Silver
36127,1996,Volleyball Men's Volleyball,Gold
36128,1996,Volleyball Men's Volleyball,Gold
36129,1964,Rowing Men's Coxed Fours,Bronze
36130,1964,Rowing Men's Coxed Fours,Bronze
36131,1996,Hockey Women's Hockey,Bronze
36132,2000,Hockey Women's Hockey,Bronze
36133,1920,"Archery Men's Pole Archery, Small Birds, Individual",Silver
36134,1920,"Archery Men's Pole Archery, Large Birds, Individual",Silver
36135,1920,"Archery Men's Pole Archery, Small Birds, Team",Gold
36136,1920,"Archery Men's Pole Archery, Large Birds, Team",Gold
36137,1928,Hockey Men's Hockey,Silver
36138,1920,"Archery Men's Pole Archery, Small Birds, Team",Gold
36139,1920,"Archery Men's Pole Archery, Large Birds, Team",Gold
36140,1980,Judo Men's Half-Heavyweight,Gold
36141,1988,Judo Men's Half-Heavyweight,Bronze
36142,1948,"Fencing Men's Foil, Team",Bronze
36143,1920,Hockey Men's Hockey,Bronze
36144,1936,Hockey Men's Hockey,Bronze
36145,2008,Water Polo Women's Water Polo,Gold
36146,1928,Gymnastics Women's Team All-Around,Gold
36147,1984,Sailing Men's Windsurfer,Gold
36148,1924,Athletics Men's 4 x 100 metres Relay,Bronze
36149,1900,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
36150,1996,Hockey Women's Hockey,Bronze
36151,2000,Hockey Women's Hockey,Bronze
36152,1928,Gymnastics Women's Team All-Around,Gold
36153,1924,"Cycling Men's Road Race, Team",Silver
36154,1924,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
36155,1920,Tug-Of-War Men's Tug-Of-War,Bronze
36156,1924,Bobsleigh Men's Four/Five,Bronze
36157,1920,Sailing Mixed 6 metres,Silver
36158,2008,Water Polo Women's Water Polo,Gold
36159,1988,Hockey Men's Hockey,Bronze
36160,1996,Hockey Men's Hockey,Gold
36161,2000,Swimming Men's 50 metres Freestyle,Bronze
36162,2000,Swimming Men's 100 metres Freestyle,Gold
36163,2000,Swimming Men's 200 metres Freestyle,Gold
36164,2000,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
36165,2004,Swimming Men's 100 metres Freestyle,Gold
36166,2004,Swimming Men's 200 metres Freestyle,Silver
36167,2004,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
36168,1948,"Canoeing Women's Kayak Singles, 500 metres",Silver
36169,1920,Sailing Mixed 12 foot,Silver
36170,2016,"Cycling Women's Road Race, Individual",Gold
36171,2016,Cycling Women's Individual Time Trial,Bronze
36172,2012,Swimming Men's 100 metres Breaststroke,Gold
36173,2016,Swimming Men's 100 metres Breaststroke,Silver
36174,2004,Judo Men's Heavyweight,Bronze
36175,1928,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36176,1964,Rowing Men's Coxed Fours,Bronze
36177,1936,Hockey Men's Hockey,Bronze
36178,1928,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Silver
36179,1992,Volleyball Men's Volleyball,Silver
36180,1928,"Cycling Men's Team Pursuit, 4,000 metres",Silver
36181,2012,Hockey Men's Hockey,Silver
36182,1948,Athletics Women's 4 x 100 metres Relay,Gold
36183,1996,Rowing Women's Coxed Eights,Silver
36184,2004,Rowing Women's Lightweight Double Sculls,Bronze
36185,2008,Rowing Women's Lightweight Double Sculls,Gold
36186,1936,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
36187,1996,Rowing Men's Lightweight Double Sculls,Silver
36188,2008,Water Polo Women's Water Polo,Gold
36189,1992,Volleyball Men's Volleyball,Silver
36190,1996,Volleyball Men's Volleyball,Gold
36191,1936,"Cycling Men's Road Race, Team",Bronze
36192,1988,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
36193,1992,Sailing Men's One Person Dinghy,Gold
36194,1900,"Equestrianism Mixed Jumping, Individual",Silver
36195,1900,Equestrianism Mixed High Jump,Bronze
36196,1912,Football Men's Football,Bronze
36197,2000,Hockey Women's Hockey,Bronze
36198,2004,Hockey Women's Hockey,Silver
36199,1928,Hockey Men's Hockey,Silver
36200,1928,Gymnastics Women's Team All-Around,Gold
36201,1900,Sailing Mixed 3-10 Ton,Silver
36202,2012,"Equestrianism Mixed Jumping, Team",Silver
36203,1952,"Speed Skating Men's 1,500 metres",Silver
36204,1924,"Equestrianism Men's Three-Day Event, Individual",Gold
36205,1924,"Equestrianism Men's Three-Day Event, Team",Gold
36206,1928,"Equestrianism Men's Three-Day Event, Team",Gold
36207,2012,Hockey Men's Hockey,Silver
36208,2000,Hockey Men's Hockey,Gold
36209,2004,Hockey Men's Hockey,Silver
36210,2008,Swimming Men's 10 kilometres Open Water,Gold
36211,1920,"Fencing Men's Sabre, Team",Bronze
36212,1924,"Fencing Men's Sabre, Team",Bronze
36213,1996,Hockey Women's Hockey,Bronze
36214,2000,Hockey Women's Hockey,Bronze
36215,1964,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36216,2000,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
36217,1996,Rowing Men's Coxed Eights,Gold
36218,1928,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
36219,1900,Rowing Men's Coxed Eights,Bronze
36220,1968,Rowing Men's Double Sculls,Silver
36221,2000,Rowing Women's Double Sculls,Silver
36222,2000,Rowing Women's Coxed Eights,Silver
36223,1984,Hockey Women's Hockey,Gold
36224,1988,Hockey Women's Hockey,Bronze
36225,2016,Hockey Men's Hockey,Silver
36226,1920,Football Men's Football,Bronze
36227,1984,Rowing Women's Coxed Eights,Bronze
36228,1924,"Fencing Men's Sabre, Team",Bronze
36229,1996,Swimming Women's 50 metres Freestyle,Gold
36230,1996,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
36231,1996,Swimming Women's 100 metres Butterfly,Gold
36232,1996,Swimming Women's 4 x 100 metres Medley Relay,Gold
36233,2000,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
36234,2000,Swimming Women's 4 x 100 metres Medley Relay,Gold
36235,1932,Cycling Men's Sprint,Gold
36236,1932,"Cycling Men's 1,000 metres Time Trial",Silver
36237,2016,Judo Women's Half-Middleweight,Bronze
36238,1984,Rowing Women's Coxed Eights,Bronze
36239,2004,Rowing Women's Lightweight Double Sculls,Bronze
36240,2008,Rowing Women's Lightweight Double Sculls,Gold
36241,1948,Water Polo Men's Water Polo,Bronze
36242,1920,"Archery Men's Target Archery, 28 metres, Team",Gold
36243,2004,Hockey Women's Hockey,Silver
36244,2008,Hockey Women's Hockey,Gold
36245,2012,Hockey Women's Hockey,Gold
36246,2016,Hockey Women's Hockey,Silver
36247,1988,"Speed Skating Women's 1,500 metres",Gold
36248,1988,"Speed Skating Women's 3,000 metres",Gold
36249,1988,"Speed Skating Women's 5,000 metres",Gold
36250,1920,"Archery Men's Target Archery, 28 metres, Team",Gold
36251,2016,Cycling Men's BMX,Silver
36252,1992,"Equestrianism Mixed Dressage, Team",Silver
36253,1996,"Equestrianism Mixed Dressage, Individual",Silver
36254,1996,"Equestrianism Mixed Dressage, Team",Silver
36255,2000,"Equestrianism Mixed Dressage, Individual",Gold
36256,2000,"Equestrianism Mixed Dressage, Team",Silver
36257,2004,"Equestrianism Mixed Dressage, Individual",Gold
36258,2008,"Equestrianism Mixed Dressage, Individual",Gold
36259,2008,"Equestrianism Mixed Dressage, Team",Silver
36260,2012,"Equestrianism Mixed Dressage, Team",Bronze
36261,1920,Gymnastics Men's Team All-Around,Silver
36262,1948,Hockey Men's Hockey,Bronze
36263,1952,Hockey Men's Hockey,Silver
36264,1948,"Art Competitions Mixed Literature, Lyric Works",Silver
36265,1920,Football Men's Football,Gold
36266,1976,"Speed Skating Men's 1,500 metres",Bronze
36267,1976,"Speed Skating Men's 5,000 metres",Bronze
36268,1976,"Speed Skating Men's 10,000 metres",Bronze
36269,1924,Art Competitions Mixed Painting,Bronze
36270,1900,Football Men's Football,Bronze
36271,2000,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
36272,1928,Sailing Mixed 8 metres,Silver
36273,1920,Tug-Of-War Men's Tug-Of-War,Bronze
36274,1904,Boxing Men's Lightweight,Silver
36275,1900,"Archery Men's Au Chapelet, 33 metres",Gold
36276,1900,"Archery Men's Au Cordon Dore, 33 metres",Gold
36277,1900,"Archery Men's Au Cordon Dore, 50 metres",Silver
36278,1900,Archery Men's Championnat Du Monde,Silver
36279,1920,"Archery Men's Target Archery, 28 metres, Individual",Gold
36280,1920,"Archery Men's Target Archery, 33 metres, Individual",Gold
36281,1920,"Archery Men's Target Archery, 50 metres, Individual",Silver
36282,1920,"Archery Men's Target Archery, 28 metres, Team",Silver
36283,1920,"Archery Men's Target Archery, 33 metres, Team",Gold
36284,1920,"Archery Men's Target Archery, 50 metres, Team",Gold
36285,2004,Hockey Women's Hockey,Silver
36286,1928,Boxing Men's Featherweight,Gold
36287,2004,"Canoeing Men's Kayak Singles, 500 metres",Gold
36288,2004,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
36289,2008,"Canoeing Men's Kayak Singles, 500 metres",Silver
36290,2012,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
36291,1968,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
36292,1900,Rowing Men's Coxed Eights,Silver
36293,1908,Rowing Men's Coxed Eights,Silver
36294,2016,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36295,1992,Athletics Women's 800 metres,Gold
36296,1900,Equestrianism Mixed Long Jump,Gold
36297,1932,"Equestrianism Men's Three-Day Event, Team",Silver
36298,1936,Hockey Men's Hockey,Bronze
36299,2000,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
36300,1906,"Fencing Men's Sabre, Team",Bronze
36301,1920,Tug-Of-War Men's Tug-Of-War,Silver
36302,1920,Tug-Of-War Men's Tug-Of-War,Silver
36303,1952,"Cycling Men's Road Race, Team",Gold
36304,2012,Hockey Women's Hockey,Gold
36305,2016,Hockey Women's Hockey,Silver
36306,2012,Hockey Women's Hockey,Gold
36307,2016,Hockey Women's Hockey,Silver
36308,1984,Hockey Women's Hockey,Gold
36309,1988,Hockey Women's Hockey,Bronze
36310,1996,Hockey Men's Hockey,Gold
36311,1920,Gymnastics Men's Team All-Around,Silver
36312,1920,"Archery Men's Target Archery, 28 metres, Team",Gold
36313,1920,"Archery Men's Pole Archery, Small Birds, Individual",Gold
36314,1920,"Archery Men's Pole Archery, Small Birds, Team",Gold
36315,1920,"Archery Men's Pole Archery, Large Birds, Team",Gold
36316,1920,Hockey Men's Hockey,Bronze
36317,1996,Rowing Women's Double Sculls,Bronze
36318,2000,Rowing Women's Double Sculls,Silver
36319,2000,Rowing Women's Coxed Eights,Silver
36320,1968,Rowing Men's Coxed Pairs,Silver
36321,2016,Athletics Men's 400 metres,Gold
36322,2008,Water Polo Women's Water Polo,Silver
36323,1932,Athletics Men's High Jump,Silver
36324,1936,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
36325,1976,"Equestrianism Mixed Jumping, Team",Bronze
36326,1996,Hockey Men's Hockey,Gold
36327,2000,Hockey Men's Hockey,Gold
36328,1928,Gymnastics Women's Team All-Around,Gold
36329,1920,"Equestrianism Men's Vaulting, Team",Gold
36330,1920,Football Men's Football,Bronze
36331,1928,"Equestrianism Men's Dressage, Team",Bronze
36332,1920,Tug-Of-War Men's Tug-Of-War,Silver
36333,1920,Tug-Of-War Men's Tug-Of-War,Silver
36334,2010,"Speed Skating Women's 1,000 metres",Bronze
36335,2012,Sailing Men's Windsurfer,Gold
36336,2016,Sailing Men's Windsurfer,Gold
36337,2000,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
36338,2008,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
36339,1948,"Cycling Men's Road Race, Team",Gold
36340,2000,Tennis Women's Doubles,Bronze
36341,1906,"Fencing Men's Sabre, Individual, Three Hits",Silver
36342,1906,"Fencing Men's Sabre, Team",Bronze
36343,1912,"Fencing Men's epee, Team",Bronze
36344,1912,"Fencing Men's Sabre, Team",Bronze
36345,2016,Swimming Women's 10 kilometres Open Water,Gold
36346,1976,Rowing Men's Coxless Pairs,Bronze
36347,2004,Rowing Women's Coxed Eights,Bronze
36348,2008,Rowing Women's Coxed Eights,Silver
36349,1928,Gymnastics Women's Team All-Around,Gold
36350,1936,"Equestrianism Men's Jumping, Team",Silver
36351,1952,Boxing Men's Light-Middleweight,Silver
36352,2012,Judo Women's Extra-Lightweight,Bronze
36353,1928,Sailing Mixed 8 metres,Silver
36354,1984,Swimming Women's 100 metres Breaststroke,Gold
36355,1996,Rowing Men's Coxed Eights,Gold
36356,2016,Hockey Men's Hockey,Silver
36357,1920,"Archery Men's Target Archery, 28 metres, Team",Silver
36358,1920,"Archery Men's Target Archery, 33 metres, Team",Gold
36359,1920,"Archery Men's Target Archery, 50 metres, Team",Gold
36360,2016,Judo Men's Lightweight,Bronze
36361,1920,"Shooting Men's Trap, Team",Silver
36362,2002,"Speed Skating Men's 1,000 metres",Gold
36363,1980,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36364,1984,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
36365,2012,Cycling Men's Keirin,Bronze
36366,1936,Cycling Men's Sprint,Silver
36367,1936,"Cycling Men's 1,000 metres Time Trial",Gold
36368,1948,Swimming Women's 200 metres Breaststroke,Gold
36369,1952,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
36370,2000,Hockey Men's Hockey,Gold
36371,1964,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36372,1996,Hockey Men's Hockey,Gold
36373,2000,Hockey Men's Hockey,Gold
36374,1928,Figure Skating Men's Singles,Bronze
36375,1976,Water Polo Men's Water Polo,Bronze
36376,1904,"Fencing Men's Foil, Individual",Silver
36377,1904,"Fencing Men's Foil, Team",Gold
36378,1904,"Fencing Men's epee, Individual",Bronze
36379,1904,"Fencing Men's Sabre, Individual",Bronze
36380,1904,"Fencing Men's Single Sticks, Individual",Gold
36381,2016,Hockey Men's Hockey,Silver
36382,1932,"Wrestling Men's Welterweight, Freestyle",Gold
36383,1924,"Shooting Men's Trap, Team",Silver
36384,1952,Gymnastics Women's Team All-Around,Bronze
36385,1936,Swimming Men's 100 metres Backstroke,Silver
36386,1996,Judo Women's Half-Middleweight,Silver
36387,2000,Judo Women's Half-Middleweight,Bronze
36388,1924,Military Ski Patrol Men's Military Ski Patrol,Bronze
36389,1984,Cycling Men's 100 kilometres Team Time Trial,Gold
36390,1960,"Cycling Men's Road Race, Individual",Bronze
36391,2008,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
36392,2000,Judo Women's Half-Middleweight,Gold
36393,1928,Water Polo Men's Water Polo,Bronze
36394,2004,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
36395,2008,Swimming Men's 200 metres Freestyle,Bronze
36396,2008,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
36397,2012,Swimming Men's 400 metres Freestyle,Bronze
36398,1984,Boxing Men's Heavyweight,Bronze
36399,1988,Boxing Men's Heavyweight,Bronze
36400,1992,Boxing Men's Heavyweight,Bronze
36401,1936,Rowing Men's Coxed Fours,Bronze
36402,1936,Rowing Men's Coxed Fours,Bronze
36403,1936,Rowing Men's Coxed Pairs,Bronze
36404,1936,Rowing Men's Coxed Fours,Bronze
36405,2016,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
36406,1988,"Wrestling Men's Featherweight, Greco-Roman",Silver
36407,1988,Basketball Women's Basketball,Silver
36408,2004,"Fencing Men's Foil, Team",Gold
36409,1948,Cross Country Skiing Men's 50 kilometres,Bronze
36410,1976,Handball Women's Handball,Bronze
36411,2008,Football Men's Football,Silver
36412,1992,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
36413,1994,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
36414,1992,Cross Country Skiing Men's 50 kilometres,Bronze
36415,1992,Cross Country Skiing Men's 10/15 kilometres Pursuit,Bronze
36416,1992,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
36417,1994,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
36418,1956,Rowing Men's Coxed Fours,Gold
36419,1906,Football Men's Football,Bronze
36420,1920,Rowing Men's Coxed Fours,Bronze
36421,1980,Boxing Men's Flyweight,Bronze
36422,1972,Football Men's Football,Silver
36423,1976,Basketball Men's Basketball,Silver
36424,1952,Athletics Men's 4 x 100 metres Relay,Bronze
36425,1988,"Wrestling Men's Welterweight, Freestyle",Silver
36426,1988,Judo Men's Half-Middleweight,Bronze
36427,1988,Weightlifting Men's Middleweight,Bronze
36428,1932,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
36429,1924,Rugby Men's Rugby,Bronze
36430,2008,"Wrestling Men's Welterweight, Greco-Roman",Bronze
36431,1980,Weightlifting Men's Light-Heavyweight,Gold
36432,1912,"Wrestling Men's Lightweight, Greco-Roman",Gold
36433,1920,"Wrestling Men's Lightweight, Greco-Roman",Gold
36434,2008,Water Polo Men's Water Polo,Silver
36435,1912,"Wrestling Men's Middleweight B, Greco-Roman",Bronze
36436,2008,Water Polo Men's Water Polo,Gold
36437,2008,Water Polo Men's Water Polo,Gold
36438,1952,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
36439,1968,"Wrestling Men's Bantamweight, Greco-Roman",Gold
36440,1980,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Gold
36441,1988,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
36442,2004,Water Polo Men's Water Polo,Gold
36443,2008,Water Polo Men's Water Polo,Gold
36444,1964,Football Men's Football,Gold
36445,2000,Water Polo Men's Water Polo,Gold
36446,1980,Swimming Women's 200 metres Breaststroke,Silver
36447,1984,Water Polo Men's Water Polo,Silver
36448,1992,Baseball Men's Baseball,Gold
36449,1996,Baseball Men's Baseball,Gold
